run_id,strategy,seed,split,iteration,n_labels_before,zone,month,temperature,relative_humidity,comfort_class,triggered
temporal-random-s42,random,42,temporal,0,20,livingroom,2,16.198,74.1,comfortable,True
temporal-random-s42,random,42,temporal,0,20,bedroom,3,17.92,67.2,comfortable,True
temporal-random-s42,random,42,temporal,0,20,bedroom,1,15.923,64.9,comfortable,True
temporal-random-s42,random,42,temporal,0,20,spareroom,3,13.223,71.0,comfortable,True
temporal-random-s42,random,42,temporal,0,20,study,11,13.774,78.4,comfortable,True
temporal-random-s42,random,42,temporal,0,20,bathroom,2,15.138,70.8,comfortable,True
temporal-random-s42,random,42,temporal,0,20,hall,2,15.383,68.1,comfortable,True
temporal-random-s42,random,42,temporal,0,20,kitchen,2,12.741,82.4,comfortable,True
temporal-random-s42,random,42,temporal,0,20,bathroom,11,15.243,69.8,too_cool,True
temporal-random-s42,random,42,temporal,0,20,bathroom,4,15.152,63.4,comfortable,True
temporal-random-s42,random,42,temporal,1,30,bathroom,4,15.661,73.8,comfortable,True
temporal-random-s42,random,42,temporal,1,30,bathroom,4,14.686,65.3,too_cool,True
temporal-random-s42,random,42,temporal,1,30,hall,4,15.416,61.3,comfortable,True
temporal-random-s42,random,42,temporal,1,30,bedroom,4,17.576,71.4,too_cool,True
temporal-random-s42,random,42,temporal,1,30,livingroom,3,12.916,68.7,comfortable,True
temporal-random-s42,random,42,temporal,1,30,livingroom,12,13.708,78.6,too_cool,True
temporal-random-s42,random,42,temporal,1,30,spareroom,2,16.822,70.2,comfortable,True
temporal-random-s42,random,42,temporal,1,30,spareroom,12,13.412,76.2,too_cool,True
temporal-random-s42,random,42,temporal,1,30,hall,2,15.821,68.1,too_cool,True
temporal-random-s42,random,42,temporal,1,30,spareroom,2,13.293,68.6,too_cool,True
temporal-random-s42,random,42,temporal,2,40,spareroom,2,15.216,73.7,too_cool,True
temporal-random-s42,random,42,temporal,2,40,study,4,14.755,65.0,comfortable,True
temporal-random-s42,random,42,temporal,2,40,kitchen,3,11.647,78.7,comfortable,True
temporal-random-s42,random,42,temporal,2,40,spareroom,4,15.596,77.0,comfortable,True
temporal-random-s42,random,42,temporal,2,40,bedroom,3,17.415,70.0,comfortable,True
temporal-random-s42,random,42,temporal,2,40,spareroom,1,14.822,68.8,comfortable,True
temporal-random-s42,random,42,temporal,2,40,livingroom,4,13.686,71.9,too_cool,True
temporal-random-s42,random,42,temporal,2,40,bathroom,2,14.786,72.7,comfortable,True
temporal-random-s42,random,42,temporal,2,40,study,2,15.37,69.8,comfortable,True
temporal-random-s42,random,42,temporal,2,40,study,3,15.654,68.7,comfortable,True
temporal-random-s42,random,42,temporal,3,50,spareroom,4,14.455,78.1,too_cool,True
temporal-random-s42,random,42,temporal,3,50,bathroom,3,14.56,71.6,too_cool,True
temporal-random-s42,random,42,temporal,3,50,kitchen,12,13.471,82.9,comfortable,True
temporal-random-s42,random,42,temporal,3,50,livingroom,3,13.747,67.3,too_cool,True
temporal-random-s42,random,42,temporal,3,50,livingroom,3,14.299,66.8,too_cool,True
temporal-random-s42,random,42,temporal,3,50,spareroom,2,13.851,69.9,too_cool,True
temporal-random-s42,random,42,temporal,3,50,bedroom,2,17.617,69.2,comfortable,True
temporal-random-s42,random,42,temporal,3,50,bathroom,2,14.852,72.4,comfortable,True
temporal-random-s42,random,42,temporal,3,50,livingroom,2,14.035,74.1,too_cool,True
temporal-random-s42,random,42,temporal,3,50,bedroom,11,16.47,66.9,comfortable,True
temporal-random-s42,random,42,temporal,4,60,bathroom,4,16.395,64.5,comfortable,True
temporal-random-s42,random,42,temporal,4,60,bedroom,11,16.242,61.2,comfortable,True
temporal-random-s42,random,42,temporal,4,60,kitchen,1,12.335,83.2,comfortable,True
temporal-random-s42,random,42,temporal,4,60,study,12,13.352,76.4,too_cool,True
temporal-random-s42,random,42,temporal,4,60,bedroom,12,15.851,59.5,comfortable,True
temporal-random-s42,random,42,temporal,4,60,livingroom,4,13.731,75.8,comfortable,True
temporal-random-s42,random,42,temporal,4,60,bedroom,1,11.996,61.0,too_cool,True
temporal-random-s42,random,42,temporal,4,60,study,4,15.767,67.7,comfortable,True
temporal-random-s42,random,42,temporal,4,60,bedroom,3,17.123,72.0,comfortable,True
temporal-random-s42,random,42,temporal,4,60,spareroom,4,13.371,70.7,comfortable,True
temporal-random-s42,random,42,temporal,5,70,livingroom,3,14.115,67.3,comfortable,True
temporal-random-s42,random,42,temporal,5,70,bathroom,3,16.769,67.9,too_cool,True
temporal-random-s42,random,42,temporal,5,70,study,1,12.031,72.5,too_cool,True
temporal-random-s42,random,42,temporal,5,70,livingroom,4,15.429,75.0,too_cool,True
temporal-random-s42,random,42,temporal,5,70,spareroom,11,13.689,80.6,too_cool,True
temporal-random-s42,random,42,temporal,5,70,study,11,14.504,71.2,too_cool,True
temporal-random-s42,random,42,temporal,5,70,hall,3,15.123,68.9,too_cool,True
temporal-random-s42,random,42,temporal,5,70,bedroom,3,17.49,65.2,comfortable,True
temporal-random-s42,random,42,temporal,5,70,bedroom,12,15.107,68.0,too_cool,True
temporal-random-s42,random,42,temporal,5,70,livingroom,11,13.195,71.6,comfortable,True
temporal-random-s42,random,42,temporal,6,80,kitchen,3,11.873,79.6,comfortable,True
temporal-random-s42,random,42,temporal,6,80,hall,2,15.658,66.5,comfortable,True
temporal-random-s42,random,42,temporal,6,80,livingroom,3,13.758,66.5,comfortable,True
temporal-random-s42,random,42,temporal,6,80,study,2,15.929,71.4,comfortable,True
temporal-random-s42,random,42,temporal,6,80,bathroom,11,16.258,58.9,comfortable,True
temporal-random-s42,random,42,temporal,6,80,livingroom,4,15.684,68.9,comfortable,True
temporal-random-s42,random,42,temporal,6,80,bathroom,4,15.402,65.5,comfortable,True
temporal-random-s42,random,42,temporal,6,80,kitchen,2,12.061,79.8,too_cool,True
temporal-random-s42,random,42,temporal,6,80,livingroom,4,13.805,73.0,too_cool,True
temporal-random-s42,random,42,temporal,6,80,kitchen,2,13.114,85.1,too_cool,True
temporal-random-s42,random,42,temporal,7,90,study,1,13.442,77.6,too_cool,True
temporal-random-s42,random,42,temporal,7,90,bathroom,12,13.729,75.5,comfortable,True
temporal-random-s42,random,42,temporal,7,90,kitchen,4,13.423,77.9,comfortable,True
temporal-random-s42,random,42,temporal,7,90,spareroom,12,14.006,75.9,too_cool,True
temporal-random-s42,random,42,temporal,7,90,kitchen,12,12.154,84.0,too_cool,True
temporal-random-s42,random,42,temporal,7,90,hall,4,16.041,70.0,comfortable,True
temporal-random-s42,random,42,temporal,7,90,spareroom,3,13.731,72.0,comfortable,True
temporal-random-s42,random,42,temporal,7,90,bathroom,12,13.769,74.4,comfortable,True
temporal-random-s42,random,42,temporal,7,90,hall,2,14.716,69.2,comfortable,True
temporal-random-s42,random,42,temporal,7,90,study,12,13.391,74.5,too_cool,True
temporal-random-s42,random,42,temporal,8,100,bathroom,12,13.764,75.5,too_cool,True
temporal-random-s42,random,42,temporal,8,100,kitchen,3,14.093,75.7,too_cool,True
temporal-random-s42,random,42,temporal,8,100,livingroom,12,11.88,67.9,comfortable,True
temporal-random-s42,random,42,temporal,8,100,study,12,12.923,72.0,too_cool,True
temporal-random-s42,random,42,temporal,8,100,livingroom,12,13.766,78.6,too_cool,True
temporal-random-s42,random,42,temporal,8,100,hall,3,15.923,61.0,comfortable,True
temporal-random-s42,random,42,temporal,8,100,livingroom,3,14.552,68.9,too_cool,True
temporal-random-s42,random,42,temporal,8,100,bedroom,4,18.052,70.6,comfortable,True
temporal-random-s42,random,42,temporal,8,100,bathroom,3,15.798,65.8,comfortable,True
temporal-random-s42,random,42,temporal,8,100,bathroom,4,13.31,72.2,too_cool,True
temporal-random-s42,random,42,temporal,9,110,bathroom,3,16.557,66.6,comfortable,True
temporal-random-s42,random,42,temporal,9,110,bathroom,1,13.748,75.5,too_cool,True
temporal-random-s42,random,42,temporal,9,110,bathroom,4,14.32,67.4,comfortable,True
temporal-random-s42,random,42,temporal,9,110,kitchen,12,12.057,83.5,comfortable,True
temporal-random-s42,random,42,temporal,9,110,livingroom,3,15.403,72.7,comfortable,True
temporal-random-s42,random,42,temporal,9,110,study,2,15.128,72.5,too_cool,True
temporal-random-s42,random,42,temporal,9,110,bathroom,3,13.732,69.5,comfortable,True
temporal-random-s42,random,42,temporal,9,110,hall,4,13.497,69.8,comfortable,True
temporal-random-s42,random,42,temporal,9,110,kitchen,3,14.021,75.1,comfortable,True
temporal-random-s42,random,42,temporal,9,110,spareroom,12,13.33,77.3,comfortable,True
temporal-random-s42,random,42,temporal,10,120,kitchen,11,13.323,83.7,too_cool,True
temporal-random-s42,random,42,temporal,10,120,spareroom,12,12.301,73.7,comfortable,True
temporal-random-s42,random,42,temporal,10,120,kitchen,3,12.891,83.2,comfortable,True
temporal-random-s42,random,42,temporal,10,120,bathroom,4,15.158,70.8,too_cool,True
temporal-random-s42,random,42,temporal,10,120,study,2,14.504,69.8,comfortable,True
temporal-random-s42,random,42,temporal,10,120,bedroom,3,18.324,68.3,too_cool,True
temporal-random-s42,random,42,temporal,10,120,spareroom,2,16.675,70.7,comfortable,True
temporal-random-s42,random,42,temporal,10,120,livingroom,12,13.217,76.4,comfortable,True
temporal-random-s42,random,42,temporal,10,120,kitchen,1,11.669,80.7,comfortable,True
temporal-random-s42,random,42,temporal,10,120,bathroom,3,13.323,68.5,comfortable,True
temporal-random-s42,random,42,temporal,11,130,hall,4,15.086,75.3,comfortable,True
temporal-random-s42,random,42,temporal,11,130,spareroom,2,16.906,72.3,comfortable,True
temporal-random-s42,random,42,temporal,11,130,hall,3,14.349,62.9,too_cool,True
temporal-random-s42,random,42,temporal,11,130,study,1,13.044,75.6,comfortable,True
temporal-random-s42,random,42,temporal,11,130,bedroom,11,16.178,68.0,too_cool,True
temporal-random-s42,random,42,temporal,11,130,bathroom,4,13.465,72.7,too_cool,True
temporal-random-s42,random,42,temporal,11,130,livingroom,1,14.401,73.0,too_cool,True
temporal-random-s42,random,42,temporal,11,130,study,12,13.341,75.3,comfortable,True
temporal-random-s42,random,42,temporal,11,130,kitchen,3,13.886,74.0,comfortable,True
temporal-random-s42,random,42,temporal,11,130,kitchen,12,11.346,86.8,comfortable,True
temporal-random-s42,random,42,temporal,12,140,livingroom,4,13.753,74.4,comfortable,True
temporal-random-s42,random,42,temporal,12,140,study,1,15.26,69.0,comfortable,True
temporal-random-s42,random,42,temporal,12,140,spareroom,3,14.849,65.1,comfortable,True
temporal-random-s42,random,42,temporal,12,140,study,2,14.216,72.8,comfortable,True
temporal-random-s42,random,42,temporal,12,140,kitchen,4,14.606,73.4,too_cool,True
temporal-random-s42,random,42,temporal,12,140,study,2,13.789,70.1,too_cool,True
temporal-random-s42,random,42,temporal,12,140,study,11,13.812,77.3,too_cool,True
temporal-random-s42,random,42,temporal,12,140,livingroom,4,14.489,65.7,comfortable,True
temporal-random-s42,random,42,temporal,12,140,hall,3,14.94,70.3,too_cool,True
temporal-random-s42,random,42,temporal,12,140,kitchen,3,11.676,81.2,comfortable,True
temporal-random-s42,random,42,temporal,13,150,kitchen,12,12.504,83.5,too_cool,True
temporal-random-s42,random,42,temporal,13,150,livingroom,2,15.726,72.4,too_cool,True
temporal-random-s42,random,42,temporal,13,150,kitchen,2,12.881,77.3,too_cool,True
temporal-random-s42,random,42,temporal,13,150,livingroom,12,13.179,75.2,comfortable,True
temporal-random-s42,random,42,temporal,13,150,hall,4,16.145,71.1,too_cool,True
temporal-random-s42,random,42,temporal,13,150,bedroom,1,14.173,62.4,comfortable,True
temporal-random-s42,random,42,temporal,13,150,bathroom,4,15.38,65.5,comfortable,True
temporal-random-s42,random,42,temporal,13,150,spareroom,12,13.95,74.2,too_cool,True
temporal-random-s42,random,42,temporal,13,150,bathroom,2,17.635,68.7,comfortable,True
temporal-random-s42,random,42,temporal,13,150,livingroom,4,14.624,73.3,too_cool,True
temporal-random-s42,random,42,temporal,14,160,bathroom,3,15.321,60.7,comfortable,True
temporal-random-s42,random,42,temporal,14,160,bedroom,2,18.58,71.1,comfortable,False
temporal-random-s42,random,42,temporal,14,160,spareroom,11,13.719,80.9,comfortable,True
temporal-random-s42,random,42,temporal,14,160,bathroom,1,13.505,74.1,comfortable,True
temporal-random-s42,random,42,temporal,14,160,bedroom,4,15.399,65.5,comfortable,True
temporal-random-s42,random,42,temporal,14,160,kitchen,2,12.308,83.7,too_cool,True
temporal-random-s42,random,42,temporal,14,160,bathroom,1,11.424,67.9,comfortable,True
temporal-random-s42,random,42,temporal,14,160,bedroom,3,18.433,72.9,comfortable,True
temporal-random-s42,random,42,temporal,14,160,study,3,12.67,69.6,comfortable,True
temporal-random-s42,random,42,temporal,14,160,livingroom,3,14.064,66.2,comfortable,True
temporal-random-s42,random,42,temporal,15,170,spareroom,4,14.983,69.6,too_cool,True
temporal-random-s42,random,42,temporal,15,170,study,12,13.224,75.3,comfortable,True
temporal-random-s42,random,42,temporal,15,170,bathroom,1,14.929,64.2,comfortable,True
temporal-random-s42,random,42,temporal,15,170,bedroom,2,18.451,77.9,comfortable,True
temporal-random-s42,random,42,temporal,15,170,bathroom,2,17.525,68.2,comfortable,True
temporal-random-s42,random,42,temporal,15,170,kitchen,1,11.449,83.7,too_cool,True
temporal-random-s42,random,42,temporal,15,170,kitchen,4,14.732,78.2,too_cool,True
temporal-random-s42,random,42,temporal,15,170,bedroom,12,15.635,65.8,comfortable,True
temporal-random-s42,random,42,temporal,15,170,kitchen,3,12.819,73.2,too_cool,True
temporal-random-s42,random,42,temporal,15,170,kitchen,1,12.775,82.4,comfortable,True
temporal-random-s42,random,42,temporal,16,180,spareroom,1,12.168,75.1,too_cool,True
temporal-random-s42,random,42,temporal,16,180,livingroom,3,13.934,66.8,comfortable,True
temporal-random-s42,random,42,temporal,16,180,spareroom,4,14.685,66.4,comfortable,True
temporal-random-s42,random,42,temporal,16,180,kitchen,11,13.512,87.4,too_cool,True
temporal-random-s42,random,42,temporal,16,180,kitchen,3,14.343,77.3,comfortable,True
temporal-random-s42,random,42,temporal,16,180,kitchen,12,11.562,86.5,comfortable,True
temporal-random-s42,random,42,temporal,16,180,bedroom,12,16.051,63.2,too_cool,True
temporal-random-s42,random,42,temporal,16,180,livingroom,2,15.714,75.2,comfortable,True
temporal-random-s42,random,42,temporal,16,180,hall,2,14.637,69.2,too_cool,True
temporal-random-s42,random,42,temporal,16,180,kitchen,1,11.892,86.3,too_cool,True
temporal-random-s42,random,42,temporal,17,190,livingroom,11,13.645,74.7,comfortable,True
temporal-random-s42,random,42,temporal,17,190,study,11,13.534,75.0,too_cool,True
temporal-random-s42,random,42,temporal,17,190,spareroom,3,12.814,70.4,too_cool,True
temporal-random-s42,random,42,temporal,17,190,bathroom,12,14.186,77.1,too_cool,True
temporal-random-s42,random,42,temporal,17,190,spareroom,11,14.895,76.7,comfortable,True
temporal-random-s42,random,42,temporal,17,190,spareroom,11,13.616,79.2,too_cool,True
temporal-random-s42,random,42,temporal,17,190,hall,2,15.342,68.1,comfortable,True
temporal-random-s42,random,42,temporal,17,190,study,12,13.368,76.4,comfortable,True
temporal-random-s42,random,42,temporal,17,190,livingroom,4,14.614,73.0,too_cool,True
temporal-random-s42,random,42,temporal,17,190,kitchen,12,12.05,83.7,comfortable,True
temporal-random-s42,random,42,temporal,18,200,bedroom,11,16.447,72.3,too_cool,True
temporal-random-s42,random,42,temporal,18,200,kitchen,3,12.667,72.3,comfortable,True
temporal-random-s42,random,42,temporal,18,200,livingroom,11,13.605,71.6,too_cool,True
temporal-random-s42,random,42,temporal,18,200,livingroom,2,14.526,73.3,too_cool,True
temporal-random-s42,random,42,temporal,18,200,kitchen,2,12.587,81.2,too_cool,True
temporal-random-s42,random,42,temporal,18,200,bathroom,2,15.881,70.3,too_cool,True
temporal-random-s42,random,42,temporal,18,200,livingroom,4,14.342,66.8,too_cool,True
temporal-random-s42,random,42,temporal,18,200,study,11,14.054,77.8,too_cool,True
temporal-random-s42,random,42,temporal,18,200,kitchen,4,14.888,72.9,too_cool,True
temporal-random-s42,random,42,temporal,18,200,bedroom,12,15.53,61.0,comfortable,True
temporal-random-s42,random,42,temporal,19,210,spareroom,2,14.421,70.2,too_cool,True
temporal-random-s42,random,42,temporal,19,210,kitchen,1,12.919,82.1,comfortable,True
temporal-random-s42,random,42,temporal,19,210,kitchen,1,11.656,84.0,comfortable,True
temporal-random-s42,random,42,temporal,19,210,study,4,15.04,67.7,too_cool,True
temporal-random-s42,random,42,temporal,19,210,spareroom,3,14.413,71.8,comfortable,True
temporal-random-s42,random,42,temporal,19,210,bedroom,2,17.728,67.7,comfortable,True
temporal-random-s42,random,42,temporal,19,210,kitchen,2,12.492,87.4,too_cool,True
temporal-random-s42,random,42,temporal,19,210,study,11,13.538,77.8,too_cool,True
temporal-random-s42,random,42,temporal,19,210,spareroom,3,12.807,69.6,comfortable,True
temporal-random-s42,random,42,temporal,19,210,study,12,11.905,70.4,comfortable,True
temporal-random-s42,random,42,temporal,20,220,study,1,14.524,67.1,too_cool,True
temporal-random-s42,random,42,temporal,20,220,kitchen,3,14.063,75.7,too_cool,True
temporal-random-s42,random,42,temporal,20,220,study,4,15.933,76.1,comfortable,True
temporal-random-s42,random,42,temporal,20,220,kitchen,12,12.413,86.0,too_cool,True
temporal-random-s42,random,42,temporal,20,220,bedroom,4,15.903,69.2,comfortable,True
temporal-random-s42,random,42,temporal,20,220,bedroom,4,17.243,60.1,too_cool,True
temporal-random-s42,random,42,temporal,20,220,hall,2,17.543,66.5,comfortable,True
temporal-random-s42,random,42,temporal,20,220,bathroom,12,13.033,74.9,too_cool,True
temporal-random-s42,random,42,temporal,20,220,bathroom,2,15.762,68.7,comfortable,True
temporal-random-s42,random,42,temporal,20,220,livingroom,11,13.879,77.5,too_cool,True
temporal-random-s42,random,42,temporal,21,230,spareroom,2,16.753,70.7,comfortable,True
temporal-random-s42,random,42,temporal,21,230,bedroom,11,14.407,71.7,comfortable,True
temporal-random-s42,random,42,temporal,21,230,bathroom,1,12.674,72.4,too_cool,True
