run_id,strategy,use_trigger,seed,split,iteration,n_labels,accuracy,balanced_accuracy,macro_f1,max_uncertainty
temporal-random-s42,random,False,42,temporal,0,20,0.45732,0.5046725228953621,0.4259405074310175,
temporal-random-s42,random,False,42,temporal,1,30,0.53104,0.5134234334435355,0.5127313959799632,
temporal-random-s42,random,False,42,temporal,2,40,0.50952,0.5026504056863744,0.5021488040407607,
temporal-random-s42,random,False,42,temporal,3,50,0.51512,0.494765807910741,0.49298139693952897,
temporal-random-s42,random,False,42,temporal,4,60,0.56492,0.5135528881269432,0.4742294723916103,
temporal-random-s42,random,False,42,temporal,5,70,0.56436,0.5054904314429913,0.44528101470926496,
temporal-random-s42,random,False,42,temporal,6,80,0.5632,0.5135456971101121,0.4779611609069873,
temporal-random-s42,random,False,42,temporal,7,90,0.55268,0.5061269429054558,0.4759712210123591,
temporal-random-s42,random,False,42,temporal,8,100,0.54692,0.5034627940229055,0.47864481956573357,
temporal-random-s42,random,False,42,temporal,9,110,0.56736,0.5119006742028741,0.4623631284688713,
temporal-random-s42,random,False,42,temporal,10,120,0.56656,0.5118305658838833,0.46417849912445697,
temporal-random-s42,random,False,42,temporal,11,130,0.52268,0.4900299090606648,0.4792069192408976,
temporal-random-s42,random,False,42,temporal,12,140,0.53868,0.4993830467928802,0.4807707328489488,
temporal-random-s42,random,False,42,temporal,13,150,0.52068,0.48969237354171014,0.4805460746580458,
temporal-random-s42,random,False,42,temporal,14,160,0.54328,0.5013776120877226,0.4789549873767833,
temporal-random-s42,random,False,42,temporal,15,170,0.554,0.5071974871081776,0.4766711743348655,
temporal-random-s42,random,False,42,temporal,16,180,0.55524,0.5069504208055282,0.4734508122108593,
temporal-random-s42,random,False,42,temporal,17,190,0.55924,0.5103715102069031,0.4760626176180939,
temporal-random-s42,random,False,42,temporal,18,200,0.55824,0.5083679029045647,0.47170642132291923,
temporal-random-s42,random,False,42,temporal,19,210,0.5584,0.5115398456863481,0.481346810939848,
temporal-random-s42,random,False,42,temporal,20,220,0.56,0.5120545193738935,0.4798032613664539,
temporal-random-s42,random,False,42,temporal,21,230,0.56076,0.511715460473241,0.47719479514353436,
temporal-random-s42,random,False,42,temporal,22,240,0.54692,0.5025890609072573,0.47618293085693675,
temporal-random-s42,random,False,42,temporal,23,250,0.54596,0.5033537002368121,0.479946821838794,
temporal-random-s42,random,False,42,temporal,24,260,0.54508,0.5053360948585213,0.48648319281118013,
temporal-random-s42,random,False,42,temporal,25,270,0.5434,0.5042152790597754,0.4860832320706451,
temporal-random-s42,random,False,42,temporal,26,280,0.5444,0.503772433638299,0.48350756115183413,
temporal-random-s42,random,False,42,temporal,27,290,0.54688,0.5048135749362105,0.48239657055268115,
temporal-random-s42,random,False,42,temporal,28,300,0.54532,0.5035222878113575,0.48143189031921796,
temporal-random-s42,random,False,42,temporal,29,310,0.54848,0.5048040087543668,0.4797276832010463,
temporal-random-s42,random,False,42,temporal,30,320,0.54684,0.5047039733562179,0.4821670329222285,
temporal-random-s42,random,False,42,temporal,31,330,0.54512,0.5051336488972109,0.4859153313870422,
temporal-random-s42,random,False,42,temporal,32,340,0.54548,0.5063946649534902,0.48854731177001265,
temporal-random-s42,random,False,42,temporal,33,350,0.54688,0.5050132853626443,0.48292930539352064,
temporal-random-s42,random,False,42,temporal,34,360,0.5454,0.5041908394308187,0.48307096198610017,
temporal-random-s42,random,False,42,temporal,35,370,0.54592,0.5026574492791702,0.4781014609598855,
temporal-random-s42,random,False,42,temporal,36,380,0.55388,0.5076425602706311,0.4782355393599601,
temporal-random-s42,random,False,42,temporal,37,390,0.5536,0.5082608402940684,0.48057085910474495,
temporal-random-s42,random,False,42,temporal,38,400,0.5508,0.5067048615041281,0.48107384735217285,
temporal-random-s42,random,False,42,temporal,39,410,0.55144,0.5072477423237534,0.4814967064471049,
temporal-random-s42,random,False,42,temporal,40,420,0.55468,0.510733288789434,0.4857128365161347,
temporal-random-s42,random,False,42,temporal,41,430,0.5574,0.5106596095327002,0.4806044424048026,
temporal-random-s42,random,False,42,temporal,42,440,0.55948,0.5112662758182485,0.47839262996038734,
temporal-random-s42,random,False,42,temporal,43,450,0.55972,0.5108129960511653,0.47647444330874017,
temporal-random-s42,random,False,42,temporal,44,460,0.55672,0.5093830320504766,0.47804566824024264,
temporal-random-s42,random,False,42,temporal,45,470,0.55872,0.5115678890139446,0.48081788103276446,
temporal-random-s42,random,False,42,temporal,46,480,0.56124,0.5112457674968988,0.4746625358855201,
temporal-random-s42,random,False,42,temporal,47,490,0.56416,0.5136922366011618,0.47637971177909444,
temporal-random-s42,random,False,42,temporal,48,500,0.5628,0.5119004776374938,0.4734154284943439,
temporal-random-s42,random,False,42,temporal,49,510,0.56212,0.5124337758948271,0.47665018507250057,
temporal-random-s42,random,False,42,temporal,50,520,0.56092,0.5114423983990405,0.4759839336110741,
temporal-random-s42,random,False,42,temporal,51,530,0.5552,0.5092872719493503,0.48064682322048824,
temporal-random-s42,random,False,42,temporal,52,540,0.55572,0.5074043885514425,0.4739012175175353,
temporal-random-s42,random,False,42,temporal,53,550,0.55492,0.5072094612159306,0.4749056320901767,
temporal-random-s42,random,False,42,temporal,54,560,0.56004,0.510454100427546,0.47465079915868247,
temporal-random-s42,random,False,42,temporal,55,570,0.5556,0.5088854595510217,0.4786990090022178,
temporal-random-s42,random,False,42,temporal,56,580,0.557,0.5092390642898199,0.477051040054585,
temporal-random-s42,random,False,42,temporal,57,590,0.56004,0.5110532317068476,0.4765767859494635,
temporal-random-s42,random,False,42,temporal,58,600,0.5588,0.5120616940102761,0.48215386343565636,
temporal-random-s42,random,False,42,temporal,59,610,0.55572,0.5099756602917784,0.4817119405417773,
temporal-random-s42,random,False,42,temporal,60,620,0.56216,0.5136043391152494,0.4803001332156078,
temporal-random-s42,random,False,42,temporal,61,630,0.56256,0.5147003549151747,0.4829066568062602,
temporal-random-s42,random,False,42,temporal,62,640,0.56012,0.5121461679824808,0.47984852591210175,
temporal-random-s42,random,False,42,temporal,63,650,0.55908,0.5121673642826616,0.48193896352348553,
temporal-random-s42,random,False,42,temporal,64,660,0.55656,0.5106920919618028,0.48227141531097995,
temporal-random-s42,random,False,42,temporal,65,670,0.56048,0.5115848263975512,0.47735831358919756,
temporal-random-s42,random,False,42,temporal,66,680,0.56212,0.5147054819955121,0.48378000561608875,
temporal-random-s42,random,False,42,temporal,67,690,0.56004,0.514223634726485,0.4862435030168422,
temporal-random-s42,random,False,42,temporal,68,700,0.56196,0.5146040870201491,0.48378094407509864,
temporal-random-s42,random,False,42,temporal,69,710,0.55976,0.5130320390103653,0.4832432976571192,
temporal-random-s42,random,False,42,temporal,70,720,0.55332,0.5090538669406351,0.48333609606096606,
temporal-random-s42,random,False,42,temporal,71,730,0.56416,0.5161761350299328,0.48429968567497894,
temporal-random-s42,random,False,42,temporal,72,740,0.555,0.5105366578872923,0.484610949942508,
temporal-random-s42,random,False,42,temporal,73,750,0.563,0.5134595195712778,0.47810487381907696,
temporal-random-s42,random,False,42,temporal,74,760,0.559,0.5131838693862361,0.4851019650080097,
temporal-random-s42,random,False,42,temporal,75,770,0.56236,0.5131912405879991,0.4785824279516008,
temporal-random-s42,random,False,42,temporal,76,780,0.56236,0.5123799169806116,0.47596277908603,
temporal-random-s42,random,False,42,temporal,77,790,0.5562,0.5092937749873502,0.4787818160951518,
temporal-random-s42,random,False,42,temporal,78,800,0.56312,0.5122530504080451,0.4738843797754073,
temporal-random-s42,random,False,42,temporal,79,810,0.56328,0.5120049521371489,0.4726917865854475,
temporal-random-s42,random,False,42,temporal,80,820,0.56372,0.5121246440733327,0.4721000240500136,
temporal-random-s42,random,False,42,temporal,81,830,0.56364,0.5120677056348251,0.4720883637882648,
temporal-random-s42,random,False,42,temporal,82,840,0.56236,0.5118307133079185,0.47415509440841896,
temporal-random-s42,random,False,42,temporal,83,850,0.56372,0.5124866192212439,0.47332845989048117,
temporal-random-s42,random,False,42,temporal,84,860,0.56504,0.5134073806041404,0.47346353444155886,
temporal-random-s42,random,False,42,temporal,85,870,0.5676,0.514255822307517,0.4704053079791548,
temporal-random-s42,random,False,42,temporal,86,880,0.56392,0.5131968918426841,0.4752637785739521,
temporal-random-s42,random,False,42,temporal,87,890,0.563,0.5130476168167579,0.47676982446433647,
temporal-random-s42,random,False,42,temporal,88,900,0.56252,0.5128432871038859,0.47712826108869444,
temporal-random-s42,random,False,42,temporal,89,910,0.56628,0.5138593007940095,0.4721543541357885,
temporal-random-s42,random,False,42,temporal,90,920,0.56696,0.514062434734151,0.4712581518649894,
temporal-random-s42,random,False,42,temporal,91,930,0.56232,0.5116587022196654,0.47367145092359064,
temporal-random-s42,random,False,42,temporal,92,940,0.5628,0.5119753690474065,0.4736660190938443,
temporal-random-s42,random,False,42,temporal,93,950,0.56344,0.5110079397671257,0.46889445739851876,
temporal-random-s42,random,False,42,temporal,94,960,0.56572,0.5131362022815016,0.47095019950191686,
temporal-random-s42,random,False,42,temporal,95,970,0.566,0.513229390652235,0.4706133891513111,
temporal-random-s42,random,False,42,temporal,96,980,0.56364,0.5143893393421186,0.47974935847311095,
temporal-random-s42,random,False,42,temporal,97,990,0.56196,0.5150159897746689,0.4850237233596085,
temporal-random-s42,random,False,42,temporal,98,1000,0.56456,0.5144762048597842,0.4780889646463314,
temporal-random-s42,random,False,42,temporal,99,1010,0.56536,0.5112011635360081,0.4649059624379232,
temporal-random-s42,random,False,42,temporal,100,1020,0.56216,0.5127181240979493,0.4774838840868961,
temporal-random-s42,random,False,42,temporal,101,1030,0.56528,0.5139526529692265,0.47476993086503116,
temporal-random-s42,random,False,42,temporal,102,1040,0.5638,0.5139040849398322,0.4778494705324682,
temporal-random-s42,random,False,42,temporal,103,1050,0.56444,0.5135981964471135,0.475453185084582,
temporal-random-s42,random,False,42,temporal,104,1060,0.56176,0.5150920769573121,0.48562808048966916,
temporal-random-s42,random,False,42,temporal,105,1070,0.56184,0.5137011148041742,0.48124515498886905,
temporal-random-s42,random,False,42,temporal,106,1080,0.5598,0.5117811133102773,0.4793540051962713,
temporal-random-s42,random,False,42,temporal,107,1090,0.56068,0.5130564950197704,0.48154826449747257,
temporal-random-s42,random,False,42,temporal,108,1100,0.55292,0.5081700434687958,0.48152593068665317,
temporal-random-s42,random,False,42,temporal,109,1110,0.5624,0.5135879259059903,0.4797598070621433,
temporal-random-s42,random,False,42,temporal,110,1120,0.56148,0.5127271824858936,0.47892267556436374,
temporal-random-s42,random,False,42,temporal,111,1130,0.55864,0.5110241564110044,0.47931357866605206,
temporal-random-s42,random,False,42,temporal,112,1140,0.55892,0.5107428877321745,0.47788548779782447,
temporal-random-s42,random,False,42,temporal,113,1150,0.56164,0.5118050615257831,0.4756302521008403,
temporal-random-s42,random,False,42,temporal,114,1160,0.56068,0.512045460985949,0.4784057798783032,
temporal-random-s42,random,False,42,temporal,115,1170,0.55912,0.5111036671073553,0.4786079038795704,
temporal-random-s42,random,False,42,temporal,116,1180,0.55384,0.5073457301658569,0.477423809009787,
temporal-random-s42,random,False,42,temporal,117,1190,0.55764,0.5104434858970073,0.4794902800573108,
temporal-random-s42,random,False,42,temporal,118,1200,0.55904,0.5119953531944086,0.48149659258223754,
temporal-random-s42,random,False,42,temporal,119,1210,0.55956,0.5124341035037943,0.4818250632716963,
temporal-random-s42,random,False,42,temporal,120,1220,0.55888,0.5099717453646198,0.47553529470172096,
temporal-random-s42,random,False,42,temporal,121,1230,0.55736,0.5099383947717541,0.47849384785611,
temporal-random-s42,random,False,42,temporal,122,1240,0.56144,0.5121931962497291,0.47730650186089185,
temporal-random-s42,random,False,42,temporal,123,1250,0.56044,0.5108885754399092,0.47520926084449333,
temporal-random-s42,random,False,42,temporal,124,1260,0.56292,0.5127909679518166,0.476102839768855,
temporal-random-s42,random,False,42,temporal,125,1270,0.56244,0.5121747354844247,0.4751173182128786,
temporal-random-s42,random,False,42,temporal,126,1280,0.56084,0.5112980866489681,0.47568682089468484,
temporal-random-s42,random,False,42,temporal,127,1290,0.56048,0.5109482494132933,0.47531759501568605,
