run_id,strategy,use_trigger,seed,split,iteration,n_labels,accuracy,balanced_accuracy,macro_f1,max_uncertainty
random_split-random-s42,random,False,42,random_split,0,20,0.6216216216216216,0.5868780298404411,0.5217118884166939,
random_split-random-s42,random,False,42,random_split,1,30,0.6314496314496314,0.604741837428568,0.5346488975925614,
random_split-random-s42,random,False,42,random_split,2,40,0.6388206388206388,0.5863476575642412,0.532294634923553,
random_split-random-s42,random,False,42,random_split,3,50,0.687960687960688,0.6018074451896406,0.5666778942641012,
random_split-random-s42,random,False,42,random_split,4,60,0.7100737100737101,0.603589980853937,0.578930956254863,
random_split-random-s42,random,False,42,random_split,5,70,0.7100737100737101,0.5795305557540795,0.5643755175381152,
random_split-random-s42,random,False,42,random_split,6,80,0.742014742014742,0.571461290555821,0.5712350384526094,
random_split-random-s42,random,False,42,random_split,7,90,0.7616707616707616,0.5924170556690277,0.5961073519680723,
random_split-random-s42,random,False,42,random_split,8,100,0.7592137592137592,0.5911870433689046,0.5946391790794068,
random_split-random-s42,random,False,42,random_split,9,110,0.7641277641277642,0.615878401393596,0.6171023965141612,
random_split-random-s42,random,False,42,random_split,10,120,0.7542997542997543,0.5925303187792327,0.5977444118372314,
random_split-random-s42,random,False,42,random_split,11,130,0.742014742014742,0.5825769572680436,0.5811072037487132,
random_split-random-s42,random,False,42,random_split,12,140,0.714987714987715,0.5672187302912785,0.5619846967048218,
random_split-random-s42,random,False,42,random_split,13,150,0.7297297297297297,0.5782549874428408,0.5749421069534658,
random_split-random-s42,random,False,42,random_split,14,160,0.742014742014742,0.571461290555821,0.5725986579893879,
random_split-random-s42,random,False,42,random_split,15,170,0.7297297297297297,0.6097738959040966,0.5969272369714848,
random_split-random-s42,random,False,42,random_split,16,180,0.7371007371007371,0.5690012659555749,0.5682269689855025,
random_split-random-s42,random,False,42,random_split,17,190,0.7174447174447175,0.5555049842037666,0.5533489096573209,
random_split-random-s42,random,False,42,random_split,18,200,0.742014742014742,0.571461290555821,0.574381343808008,
random_split-random-s42,random,False,42,random_split,19,210,0.742014742014742,0.5936926239802663,0.5948644458865096,
random_split-random-s42,random,False,42,random_split,20,220,0.7248157248157249,0.5703106878163583,0.5667384392990543,
random_split-random-s42,random,False,42,random_split,21,230,0.7346437346437347,0.6047744371429443,0.5981325863678805,
random_split-random-s42,random,False,42,random_split,22,240,0.7297297297297297,0.5930268375058879,0.5836114425720577,
random_split-random-s42,random,False,42,random_split,23,250,0.7174447174447175,0.5757611092930501,0.5629965571388166,
random_split-random-s42,random,False,42,random_split,24,260,0.7297297297297297,0.5892235374953138,0.5736718036091215,
random_split-random-s42,random,False,42,random_split,25,270,0.714987714987715,0.598443405433035,0.5754647313470843,
random_split-random-s42,random,False,42,random_split,26,280,0.7100737100737101,0.5830396224451541,0.5620641073541316,
random_split-random-s42,random,False,42,random_split,27,290,0.7174447174447175,0.5849015676701109,0.5672125260360555,
random_split-random-s42,random,False,42,random_split,28,300,0.7076167076167076,0.5763253351187947,0.5593071416600829,
