dataset,strategy,dimension,value,count,share
Bath,entropy,zone,bathroom,2833,0.1430808080808081
Bath,entropy,zone,bedroom,1809,0.09136363636363637
Bath,entropy,zone,hall,1574,0.0794949494949495
Bath,entropy,zone,kitchen,3642,0.18393939393939393
Bath,entropy,zone,livingroom,3298,0.16656565656565656
Bath,entropy,zone,spareroom,3379,0.17065656565656565
Bath,entropy,zone,study,3265,0.1648989898989899
Bath,random,zone,bathroom,3054,0.15424242424242424
Bath,random,zone,bedroom,3028,0.15292929292929294
Bath,random,zone,hall,1847,0.09328282828282829
Bath,random,zone,kitchen,2941,0.14853535353535355
Bath,random,zone,livingroom,3020,0.15252525252525254
Bath,random,zone,spareroom,2912,0.14707070707070707
Bath,random,zone,study,2998,0.15141414141414142
LaSDPC,entropy,zone,1,740,0.19473684210526315
LaSDPC,entropy,zone,2,1254,0.33
LaSDPC,entropy,zone,3,539,0.1418421052631579
LaSDPC,entropy,zone,4,1267,0.33342105263157895
LaSDPC,random,zone,1,945,0.24868421052631579
LaSDPC,random,zone,2,996,0.26210526315789473
LaSDPC,random,zone,3,951,0.25026315789473685
LaSDPC,random,zone,4,908,0.23894736842105263
Bath,entropy,month,1,1882,0.09505050505050505
Bath,entropy,month,2,3698,0.18676767676767678
Bath,entropy,month,3,4203,0.21227272727272728
Bath,entropy,month,4,4566,0.2306060606060606
Bath,entropy,month,11,1947,0.09833333333333333
Bath,entropy,month,12,3504,0.17696969696969697
Bath,random,month,1,1824,0.09212121212121212
Bath,random,month,2,4035,0.2037878787878788
Bath,random,month,3,4162,0.2102020202020202
Bath,random,month,4,4020,0.20303030303030303
Bath,random,month,11,1974,0.0996969696969697
Bath,random,month,12,3785,0.19116161616161617
LaSDPC,entropy,month,1,3800,1.0
LaSDPC,random,month,1,3800,1.0
Bath,entropy,comfort_class,comfortable,10503,0.5304545454545454
Bath,entropy,comfort_class,too_cool,9297,0.46954545454545454
Bath,random,comfort_class,comfortable,11083,0.5597474747474748
Bath,random,comfort_class,too_cool,8717,0.44025252525252523
LaSDPC,entropy,comfort_class,comfortable,2708,0.7126315789473684
LaSDPC,entropy,comfort_class,too_cool,765,0.2013157894736842
LaSDPC,entropy,comfort_class,too_warm,327,0.08605263157894737
LaSDPC,random,comfort_class,comfortable,2538,0.6678947368421052
LaSDPC,random,comfort_class,too_cool,1013,0.266578947368421
LaSDPC,random,comfort_class,too_warm,249,0.06552631578947368
